title,views,date_time,link,thumbnail
GfG 160 | Day - 10 | Maximum Sum Subarray | 160 Days Daily DSA Problem Solving | GeeksforGeeks,53 views,15 minutes ago,https://www.youtube.com/watch?v=UtKnJyQmptY,https://i.ytimg.com/vi/UtKnJyQmptY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDvyr40yfMu0Fy3uTnX7H13cICg7g
OFF CAMPUS Placement and Internship 2025 Calendar revealed | Which company hires when?,855 views,14 hours ago,https://www.youtube.com/watch?v=m1bMe7YBLfQ,https://i.ytimg.com/vi/m1bMe7YBLfQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBwbQVfuWPp2NLo_UNB0x1TdOO6bA
GfG 160 | Day - 9 | Minimize the Heights | 160 Days Daily DSA Problem Solving | GeeksforGeeks,556 views,1 day ago,https://www.youtube.com/watch?v=FbwS1Uc1G5g,https://i.ytimg.com/vi/FbwS1Uc1G5g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAgPRfMo3dupPPDCs2sdJTI8KmNrQ
GfG 160 | Day - 8 | Stock Buy and Sell (With One Limit) | 160 Days Daily DSA Problem Solving | GfG,577 views,2 days ago,https://www.youtube.com/watch?v=SJ7nskvro4k,https://i.ytimg.com/vi/SJ7nskvro4k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBuYcxxrzHR5NHe8mtgVWNo93zvQg
Master Front End Development with this Roadmap | Free Doc Resource Inside,1K views,2 days ago,https://www.youtube.com/watch?v=oerwFx6CZk4,https://i.ytimg.com/vi/oerwFx6CZk4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAbUZ_plmRCNp8jdYW1heJw33Gg2w
Winter Carnival Tickets are Live Now,481 views,2 days ago,https://www.youtube.com/watch?v=k5fAC_ORuOg,https://i.ytimg.com/vi/k5fAC_ORuOg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDi_Q3tCkAPaZ19jybfhaI7hEcVCQ
GfG 160 | Day - 7 | Stock Buy and Sell (With No Limit) | 160 Days Daily DSA Problem Solving | GfG,734 views,3 days ago,https://www.youtube.com/watch?v=ULd5mo-bCE4,https://i.ytimg.com/vi/ULd5mo-bCE4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA5yluPCNc6RHFmNibAJBH53iQJjg
GfG 160 | Day - 6 | Majority Element II | 160 Days Daily DSA Problem Solving | GeeksforGeeks,521 views,4 days ago,https://www.youtube.com/watch?v=6Mfyfn1_4BY,https://i.ytimg.com/vi/6Mfyfn1_4BY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjlvpH4_ckUxZP651P7xCzfagzEA
GfG 160 | Day - 5 | Next Permutation | 160 Days Daily DSA Problem Solving | GeeksforGeeks,728 views,5 days ago,https://www.youtube.com/watch?v=GQdOXQKdtQM,https://i.ytimg.com/vi/GQdOXQKdtQM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAYrEFO5lrVEnDFHnFpxSp9vwccAg
GfG 160 | Day - 4 | Rotate an Array | 160 Days Daily DSA Problem Solving | GeeksforGeeks,958 views,6 days ago,https://www.youtube.com/watch?v=5KzhdiOePOU,https://i.ytimg.com/vi/5KzhdiOePOU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSgk6I4JIUEx-sAZOmfWmTFo9ttQ
GfG 160 | Day - 3 | Reverse an Array | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1K views,7 days ago,https://www.youtube.com/watch?v=gGtmacuQu-k,https://i.ytimg.com/vi/gGtmacuQu-k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjBlZH1la2E8FbtpiQ2ndPXcBUZQ
Use AI Before it Uses you!! | Become a 10x Coder,1.2K views,7 days ago,https://www.youtube.com/watch?v=tXU3YRu23kU,https://i.ytimg.com/vi/tXU3YRu23kU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAG-CpJ_Szt6DdK5x633Dpqklx0Jg
GfG 160 | Day - 2 | Move all Zeros to End | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1.1K views,8 days ago,https://www.youtube.com/watch?v=Q2ynXrtGN8Y,https://i.ytimg.com/vi/Q2ynXrtGN8Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLANNdyws_BtpCYJf6NHs3CfPHIXnQ
GfG 160 | Day - 1 | Second Largest Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,2.4K views,9 days ago,https://www.youtube.com/watch?v=JoNs4m0QCig,https://i.ytimg.com/vi/JoNs4m0QCig/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUKBriAhlT01R1W7fF2VlNe83wMA
GfG 160 | 160 Days Daily DSA Problem Solving | GeeksforGeeks,3.8K views,9 days ago,https://www.youtube.com/watch?v=puDKP5_0Ol4,https://i.ytimg.com/vi/puDKP5_0Ol4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC2QxJj024ayrPyA7_nZi2fb2PzVQ
"From Tier 3 College to Qualcomm as a Software Developer | Resume , Mistakes , Projects , Interview",876 views,10 days ago,https://www.youtube.com/watch?v=1TnVdzwbzJo,https://i.ytimg.com/vi/1TnVdzwbzJo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsJxvn2sG11osgp0jREBKg_4S_4w
Why you will not get placed? | Save yourself Now,1.9K views,13 days ago,https://www.youtube.com/watch?v=b-6rmk233DU,https://i.ytimg.com/vi/b-6rmk233DU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIjBSjqVLf_mehjbr-R0PEez5zUA
Y.O.G.I. | Your Own GeeksforGeeks Intelligence | Access to 7+ Features with GeeksforGeeks Premium,1.8K views,13 days ago,https://www.youtube.com/watch?v=rfyhmQYEJKE,https://i.ytimg.com/vi/rfyhmQYEJKE/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_g6AArgIigIMCAAQARhyIGMoPzAP&rs=AOn4CLDCxbuYibKH-JKQ3SQ4Is0pZvJykQ
"GeeksforGeeks Offline Classes- Visit for Free Counselling | Now in Delhi/NCR, Bengaluru, Pune",121K views,2 weeks ago,https://www.youtube.com/watch?v=hDfjzq9m5vI,https://i.ytimg.com/vi/hDfjzq9m5vI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_g6AArgIigIMCAAQARgxIGUoNTAP&rs=AOn4CLDRQQ0VRtINs3E9NREFbsES1zrFCQ
Get Placed and make the Biggest Comeback of your Life | The Ultimate Roadmap,3.9K views,3 weeks ago,https://www.youtube.com/watch?v=A7_iaBNOxSU,https://i.ytimg.com/vi/A7_iaBNOxSU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBixiKR9GlkjJ3PstS5U0icN5MQPA
Get a Job as a Data Analyst before 2025 starts | *Free Resources Inside* | Complete Roadmap,3.1K views,3 weeks ago,https://www.youtube.com/watch?v=FyHidTTNXJ8,https://i.ytimg.com/vi/FyHidTTNXJ8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDC1Tzu3PLNCrY1i9-5ZJobWcC4cw
How I would learn to code (if i could start over) | 18 LPA+ Package,1.9K views,3 weeks ago,https://www.youtube.com/watch?v=Bq4TH-OhqY0,https://i.ytimg.com/vi/Bq4TH-OhqY0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCE3fyWBRhcItmBPTxjnafQjMK74w
Go Ad Free with GeeksforGeeks Premium | 0 Ads in all GeeksforGeeks Content | 100% Distraction free,1.9K views,4 weeks ago,https://www.youtube.com/watch?v=DoXFPztXGyM,https://i.ytimg.com/vi/DoXFPztXGyM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7NdX7coPvD558qKOaZKbnzBsweQ
"35+ Courses only with GeeksforGeeks Premium | DSA, Languages, Front-end, App Development & more!",40K views,1 month ago,https://www.youtube.com/watch?v=UvNQUwuN9Ss,https://i.ytimg.com/vi/UvNQUwuN9Ss/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKXAHRXjdsaL1JrBVNfYe9LCllYg
GeeksforGeeks Premium | Explore All Features | Choose your Plan starting from INR 749,7K views,1 month ago,https://www.youtube.com/watch?v=kBN7AZ0MRgI,https://i.ytimg.com/vi/kBN7AZ0MRgI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXr7ZKE5PJXfDRKy6gZOck7RwEtg
From Tier 3 College to working as a Senior SDE with 400% HIKE | Dream Job Diaries Podcast EP-2,1.3K views,1 month ago,https://www.youtube.com/watch?v=lWrzQFqgTcY,https://i.ytimg.com/vi/lWrzQFqgTcY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBsJmwKyvJaozk2A4HAjP2OAvE_UQ
Crack any companies Aptitude round with this Strategy | *Free Resources Inside*,2.8K views,1 month ago,https://www.youtube.com/watch?v=loPvFZXUcNw,https://i.ytimg.com/vi/loPvFZXUcNw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDN8HQ3AyJ75zmXCMpRCZAYQwsmvQ
Crack Off-Campus Placement before 2025 with this Strategy,3.9K views,1 month ago,https://www.youtube.com/watch?v=rQs1n2ERSvk,https://i.ytimg.com/vi/rQs1n2ERSvk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDm3DVOR-1ncycB-rdqszEw7OeJKw
